[1522800000] LOG ROTATION: DAILY
[1522800000] LOG VERSION: 2.0
[1522800000] CURRENT HOST STATE: control1.gate.rtf;UP;HARD;1;OK - 192.168.4.2: rta 0.011ms, lost 0%
[1522800000] CURRENT HOST STATE: control2.gate.rtf;UP;HARD;1;OK - 192.168.4.10: rta 0.143ms, lost 0%
[1522800000] CURRENT HOST STATE: mgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.3: rta 0.122ms, lost 0%
[1522800000] CURRENT HOST STATE: mgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.22: rta 0.099ms, lost 0%
[1522800000] CURRENT HOST STATE: pgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.23: rta 0.178ms, lost 0%
[1522800000] CURRENT HOST STATE: pgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.25: rta 0.194ms, lost 0%
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Antenna_Door_Open_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Az_Run_Line_Active;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brake_Bypass_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brakes_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Fans_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Stowed_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Temperature_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_COHO_Gate_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Circulator_Temperature_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_El_Run_Line_Active;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brake_Bypass_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brakes_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Fans_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Limit_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Stowed_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Temperature_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Mitch_Switch_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Oil_Pressure_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Pedestal_Switch_Disabled_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_RF_Disabled_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_RF_Ladder_Lockout_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Pressure_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Switch_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;CPU load;OK;HARD;1;OK - 15 min load 0.05 at 16 Cores (0.00 per Core)
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;CPU utilization;OK;HARD;1;OK - user: 0.2%, system: 0.1%, wait: 0.0%, steal: 0.0%, guest: 0.0%, total: 0.3%
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Check_MK;OK;HARD;1;OK - Agent version 1.2.8p26, execution time 0.6 sec
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Check_MK Discovery;OK;HARD;1;OK - no unmonitored services found, 19 vanished services (local:19)
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Disk IO SUMMARY;OK;HARD;1;OK - Utilization: 0.0%, Read: 136.53 B/s, Write: 57.38 kB/s, Average Wait: 0.07 ms, Average Read Wait: 3.25 ms, Average Write Wait: 0.06 ms, Latency: 0.03 ms
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /;OK;HARD;1;OK - 42.2% used (16.49 of 39.04 GB), trend: -4.12 GB / 24 hours
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /data;OK;HARD;1;OK - 25.6% used (401.65 GB of 1.53 TB), trend: 0.00 B / 24 hours
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /home;OK;HARD;1;OK - 63.2% used (29.80 of 47.17 GB), trend: -11.74 kB / 24 hours
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_DataMapper_primary;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_DsFileDist_ext_data;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_DsServerMgr_primary;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_Fmq2Fmq_monitoring;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_InputWatcher_spol_cams;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_Janitor_logs;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_Janitor_sysview;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_LdataWatcher_sysview;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_Scout_primary;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HP_SpolMonCtrl_ops;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HawkSummary_Data;OK;HARD;1;OK - 0 data set(s) have problems
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;HawkSummary_Processes;CRITICAL;HARD;1;CRIT - 0 ok, 1 problems - No ProcessMapper?
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Interface 2;OK;HARD;1;OK - [em1] (up) MAC: 78:2b:cb:0d:ae:c0, 1 Gbit/s, in: 5.50 kB/s(0.0%), out: 1.92 kB/s(0.0%)
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Interface 3;OK;HARD;1;OK - [em2] (up) MAC: 78:2b:cb:0d:ae:c1, 1 Gbit/s, in: 10.52 B/s(0.0%), out: 0.00 B/s(0.0%)
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Kernel Context Switches;OK;HARD;1;OK - 335/s
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Kernel Major Page Faults;OK;HARD;1;OK - 0/s
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Kernel Process Creations;OK;HARD;1;OK - 4/s
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Logins;OK;HARD;1;OK - 0 logins on system (warn/crit at 20/30)
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Memory;OK;HARD;1;OK - RAM used: 992.87 MB of 11.56 GB, Swap used: 0.00 B of 3.91 GB, Total virtual memory used: 992.87 MB of 15.47 GB (6.3%),
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Mount options of /;OK;HARD;1;OK - mount options exactly as expected
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Mount options of /data;OK;HARD;1;OK - mount options exactly as expected
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Mount options of /home;OK;HARD;1;OK - mount options exactly as expected
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;NTP Time;OK;HARD;1;OK - stratum 2, offset 0.0000 ms, reference: C0A804F8 (192.168.4.248)
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Number of threads;OK;HARD;1;OK - 389 threads
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;OMD prod apache;OK;HARD;1;OK - 0.02 Requests/s, 0.00 Seconds serving/s, 0.05 B Sent/s
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;OMD prod performance;OK;HARD;1;OK - Host Checks: 0.1/s, Service Checks: 5.6/s, Process Creations: 0.2/s, Livestatus Connects: 0.0/s, Livestatus Requests: 0.0/s, Log Messages: 0.0/s, 6 Hosts, 343 Services, Core version: 3.5.0, Livestatus version: 1.2.8p15
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;OMD prod status;OK;HARD;1;OK - running
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_AC_Power;OK;HARD;1;OK - Source 2
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_Frequency;OK;HARD;1;OK - 600
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_Source_Switched;OK;HARD;1;OK - ---
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_TotalKW;OK;HARD;1;OK - 6548
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_VoltageA;OK;HARD;1;OK - 123
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_VoltageB;OK;HARD;1;OK - 124
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_VoltageC;OK;HARD;1;OK - 124
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_XmitPowerDbmH;CRITICAL;HARD;1;CRIT - CRITICAL - 53.14
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_XmitPowerDbmTxTop;CRITICAL;HARD;1;CRIT - CRITICAL - 37.97
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;PM_XmitPowerDbmV;CRITICAL;HARD;1;CRIT - CRITICAL - 60.48
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;Postfix Queue;OK;HARD;1;OK - deferred queue length is 0, active queue length is 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TCP Connections;OK;HARD;1;OK - ESTABLISHED: 3, TIME_WAIT: 1, LISTEN: 10
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_Annex;OK;HARD;1;OK - 24.4
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_Front_Wall;CRITICAL;HARD;1;CRIT - CRITICAL - 332.4
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_Horiz_LNA;CRITICAL;HARD;1;CRIT - CRITICAL - 330.3
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_Klystron;OK;HARD;1;OK - 16.6
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_Rcvr_Enclosure;CRITICAL;HARD;1;CRIT - CRITICAL - 329.7
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_Rear_Wall;OK;HARD;1;OK - 21.2
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_SCC;OK;HARD;1;OK - 27.3
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_UPS_Container;OK;HARD;1;OK - 31.1
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TEMP_Vert_LNA;CRITICAL;HARD;1;CRIT - CRITICAL - 331.2
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Cabinet_Air_Temperature_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Cabinet_Airflow_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Cabinet_Interlock_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Charging_System_Fail_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Circulator_Temperature_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Filament_PS_Voltage_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Filament_ps_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Focus_Coil_Airflow_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Focus_Coil_Current_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Focus_Coil_PS_Voltage_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Inverse_Diode_Current_HV_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Klystron_Air_Temperature_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Klystron_Airflow_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Klystron_Current_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Klystron_Filament_Current_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Klystron_Vacuum_Pump_Current_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Klystron_Warmup_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_M15_VDC_PS_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Main_Power_Voltage_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Maintenance_Required_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Modulator_Inverse_Current_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Modulator_Overload_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Modulator_Switch_Fail_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Modulator_Switch_Maintenance_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_P15_VDC_PS_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_P28_VDC_PS_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_P45_VDC_PS_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_P5_VDC_PS_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_PRF_Limit_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Post_Charge_Regulator_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Spectrum_Filter_Pressure_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Transmitter_Avail_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Transmitter_Battery_Charging_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Transmitter_Oil_Level_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Transmitter_Oil_Temperature_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Transmitter_Overcurrent_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Transmitter_Overvoltage_Fault;OK;HARD;1;OK - 0
[1522800000] CURRENT SERVICE STATE: control1.gate.rtf;TX_Transmitter_Spare_0_Fault;OK;HARD;1;OK - 0
